,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46533,46533,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,OBC-NCL,Gender-Neutral,4979,5260,6,5, bachelor and master of technology (dual degree),1,Odisha
46534,46534,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,SC,Gender-Neutral,2712,2712,6,5, bachelor and master of technology (dual degree),1,Odisha
46535,46535,Indian Institute of Technology Bhubaneswar,metallurgical and materials engineering,AI,ST,Gender-Neutral,610,610,6,5, bachelor and master of technology (dual degree),1,Odisha
46536,46536,Indian Institute of Technology Bombay,aerospace engineering,AI,GEN,Gender-Neutral,123,2118,6,4, bachelor of technology,1,Maharashtra
46537,46537,Indian Institute of Technology Bombay,aerospace engineering,AI,GEN,Female-only,702,4419,6,4, bachelor of technology,1,Maharashtra
46538,46538,Indian Institute of Technology Bombay,aerospace engineering,AI,OPEN-PwD,Gender-Neutral,7,7,6,4, bachelor of technology,1,Maharashtra
46539,46539,Indian Institute of Technology Bombay,aerospace engineering,AI,EWS,Gender-Neutral,342,476,6,4, bachelor of technology,1,Maharashtra
46540,46540,Indian Institute of Technology Bombay,aerospace engineering,AI,EWS,Female-only,931,1501,6,4, bachelor of technology,1,Maharashtra
46541,46541,Indian Institute of Technology Bombay,aerospace engineering,AI,OBC-NCL,Gender-Neutral,389,1149,6,4, bachelor of technology,1,Maharashtra
46542,46542,Indian Institute of Technology Bombay,aerospace engineering,AI,OBC-NCL,Female-only,1618,2505,6,4, bachelor of technology,1,Maharashtra
46543,46543,Indian Institute of Technology Bombay,aerospace engineering,AI,OBC-NCL-PwD,Gender-Neutral,62,62,6,4, bachelor of technology,1,Maharashtra
46544,46544,Indian Institute of Technology Bombay,aerospace engineering,AI,SC,Gender-Neutral,402,589,6,4, bachelor of technology,1,Maharashtra
46545,46545,Indian Institute of Technology Bombay,aerospace engineering,AI,SC,Female-only,136,395,6,4, bachelor of technology,1,Maharashtra
46546,46546,Indian Institute of Technology Bombay,aerospace engineering,AI,SC-PwD,Gender-Neutral,13,13,6,4, bachelor of technology,1,Maharashtra
46547,46547,Indian Institute of Technology Bombay,aerospace engineering,AI,ST,Gender-Neutral,305,504,6,4, bachelor of technology,1,Maharashtra
46548,46548,Indian Institute of Technology Bombay,aerospace engineering,AI,ST,Female-only,887,887,6,4, bachelor of technology,1,Maharashtra
46549,46549,Indian Institute of Technology Bombay,bs in mathematics,AI,GEN,Gender-Neutral,198,1944,6,4, bachelor of science,1,Maharashtra
46550,46550,Indian Institute of Technology Bombay,bs in mathematics,AI,GEN,Female-only,5154,6027,6,4, bachelor of science,1,Maharashtra
46551,46551,Indian Institute of Technology Bombay,bs in mathematics,AI,EWS,Gender-Neutral,424,451,6,4, bachelor of science,1,Maharashtra
46552,46552,Indian Institute of Technology Bombay,bs in mathematics,AI,OBC-NCL,Gender-Neutral,1379,1610,6,4, bachelor of science,1,Maharashtra
46553,46553,Indian Institute of Technology Bombay,bs in mathematics,AI,OBC-NCL,Female-only,3699,3699,6,4, bachelor of science,1,Maharashtra
46554,46554,Indian Institute of Technology Bombay,bs in mathematics,AI,SC,Gender-Neutral,644,702,6,4, bachelor of science,1,Maharashtra
46555,46555,Indian Institute of Technology Bombay,bs in mathematics,AI,SC,Female-only,2056,2056,6,4, bachelor of science,1,Maharashtra
46556,46556,Indian Institute of Technology Bombay,bs in mathematics,AI,ST,Gender-Neutral,85,85,6,4, bachelor of science,1,Maharashtra
46557,46557,Indian Institute of Technology Bombay,chemical engineering,AI,GEN,Gender-Neutral,1266,2213,6,4, bachelor of technology,1,Maharashtra
46558,46558,Indian Institute of Technology Bombay,chemical engineering,AI,GEN,Female-only,2719,4709,6,4, bachelor of technology,1,Maharashtra
46559,46559,Indian Institute of Technology Bombay,chemical engineering,AI,OPEN-PwD,Gender-Neutral,88,164,6,4, bachelor of technology,1,Maharashtra
46560,46560,Indian Institute of Technology Bombay,chemical engineering,AI,EWS,Gender-Neutral,320,413,6,4, bachelor of technology,1,Maharashtra
46561,46561,Indian Institute of Technology Bombay,chemical engineering,AI,EWS,Female-only,1258,1321,6,4, bachelor of technology,1,Maharashtra
46562,46562,Indian Institute of Technology Bombay,chemical engineering,AI,EWS-PwD,Gender-Neutral,11,11,6,4, bachelor of technology,1,Maharashtra
46563,46563,Indian Institute of Technology Bombay,chemical engineering,AI,OBC-NCL,Gender-Neutral,818,1318,6,4, bachelor of technology,1,Maharashtra
46564,46564,Indian Institute of Technology Bombay,chemical engineering,AI,OBC-NCL,Female-only,2730,3546,6,4, bachelor of technology,1,Maharashtra
46565,46565,Indian Institute of Technology Bombay,chemical engineering,AI,SC,Gender-Neutral,468,831,6,4, bachelor of technology,1,Maharashtra
46566,46566,Indian Institute of Technology Bombay,chemical engineering,AI,SC,Female-only,927,1310,6,4, bachelor of technology,1,Maharashtra
46567,46567,Indian Institute of Technology Bombay,chemical engineering,AI,ST,Gender-Neutral,241,431,6,4, bachelor of technology,1,Maharashtra
